Date,current_pure_regime,regime_plus_trend,buy_and_hold
2019-06-14,136909.68460275768,140373.93068869677,131792.67264310576
2019-06-17,137459.90591095787,140938.0743283877,132253.2437183927
2019-06-18,138840.750977484,142353.85912274156,133408.49750998965
2019-06-19,139094.86125668293,142614.39919208037,133620.8175229235
2019-06-20,141134.46707377257,144705.61345812096,135324.58938074997
2019-06-21,141355.4831120016,144932.2218979948,135508.86572151192
2019-06-24,141732.264501839,145318.53704330605,135822.95032972525
2019-06-25,140727.51780324714,144288.36708975557,134985.68485833463
2019-06-26,140481.97566125455,144036.61195847153,134780.8815883371
2019-06-27,140586.92750298543,144144.21941224317,134868.44041037737
2019-06-28,141205.6693175755,144778.61734287514,135384.59170634288
2019-07-01,141202.78698591134,144775.66207914473,135382.1886540686
2019-07-02,142003.80049907582,145596.9437562146,136050.0099508038
2019-07-03,143106.9903958602,146728.0478308241,136969.08514706246
2019-07-05,142065.41063471435,145660.11282226673,136102.21030597357
2019-07-08,141640.62115519302,145224.57483144724,135748.3329781361
2019-07-09,141924.93471848746,145516.08242306538,135985.27736257782
2019-07-10,143202.65200487332,146826.1299797396,137049.837300087
2019-07-11,142563.50780377974,146170.81341798787,136517.93915468242
2019-07-12,143167.36926835225,146789.95447889547,137020.76874452224
2019-07-15,143240.18384911012,146864.61149780607,137081.3673831903
2019-07-16,142095.62007170767,145691.08665313158,136128.8877121962
2019-07-17,142409.06030959426,146012.45791591555,136389.99952045368
2019-07-18,142753.41360748917,146365.52443645702,136676.7811402323
2019-07-19,141835.08618854784,145423.96044242673,135912.22751632403
2019-07-22,142266.58209109766,145866.37454989276,136271.77287685603
2019-07-23,142481.09501251066,146086.31532361984,136450.44575174298
2019-07-24,143169.41795517964,146792.05500395002,137023.653588865
2019-07-25,142121.46459093128,145717.5851200641,136151.50717409753
2019-07-26,142755.06062630966,146367.2131300394,136679.3169011938
2019-07-29,143043.8349521926,146663.29435558445,136919.73769411864
2019-07-30,143015.44827404906,146634.18940510732,136896.11041853426
2019-07-31,141599.65407807508,145182.57115829186,135717.66236231552
2019-08-01,141749.94294210343,145336.66280377048,135842.9196893461
2019-08-02,140994.31662136439,144561.91675799777,135118.78193328905
2019-08-05,139440.91207088792,142969.20618143934,133630.11107236583
2019-08-06,140939.13663268235,144505.3405418657,135065.90141273706
2019-08-07,141363.5341520313,144940.47665468635,135472.61337988632
2019-08-08,143485.0642637202,147115.6881579214,137505.73479495733
2019-08-09,142256.12341512478,145855.65123648825,136328.00653959648
2019-08-12,142312.05288438205,145912.99589741384,136381.60530826537
2019-08-13,143459.40154086743,147089.37608738037,137481.14149264523
2019-08-14,141427.53658746567,145006.09855325136,135533.94869696777
2019-08-15,141805.17070465424,145393.28800260054,135895.84599292756
2019-08-16,142709.8494303373,146320.85794845968,136762.824821468
2019-08-19,143244.12871405878,146868.65618025852,137274.8395448877
2019-08-20,143148.20299709158,146770.30324062618,137182.9112576824
2019-08-21,143639.1189860684,147273.6409497923,137653.36972758127
2019-08-22,143211.83584258982,146835.54619746603,137243.89238643073
2019-08-23,141735.54614903158,145321.901726505,135829.12284142885
2019-08-26,142516.011064791,146122.1148619574,136577.0641151348
2019-08-27,142778.55949938632,146391.306598592,136828.6715950042
2019-08-28,143245.70509728725,146870.27245094598,137276.350236856
2019-08-29,144051.02073791195,147695.96511284626,138048.10665257912
2019-08-30,143924.1310698252,147565.86473663984,137926.5047483134
2019-09-03,143947.2236796097,147589.54166215987,137948.63503966495
2019-09-04,145217.04743808543,148891.49595981473,139165.54252662385
2019-09-05,145307.78621442366,148984.53071288887,139252.5000241084
2019-09-06,145533.4651964393,149215.9200837086,139468.77448033195
2019-09-09,145091.35020076422,148762.6181866266,139045.08336198368
2019-09-10,144479.52582574068,148135.31272856204,138458.75501704562
2019-09-11,145023.30730308613,148692.85358940155,138979.87595736067
2019-09-12,145150.61417753526,148823.38172860493,139085.9644136622
2019-09-13,144325.88664109935,147977.78598881033,138398.77401441554
2019-09-16,145273.17788553363,148949.04668431228,139188.67688429644
2019-09-17,145511.65806220527,149193.56116031785,139387.3654679715
2019-09-18,145289.36479292426,148965.643171425,139202.20251725306
2019-09-19,145353.71778400618,149031.62449579922,139255.817130677
2019-09-20,145563.0134312433,149246.21598188695,139430.1782135536
2019-09-23,145773.4302233356,149461.95698132465,139605.44042999396
2019-09-24,145185.23468697624,148858.87824593877,139115.60764015434
2019-09-25,144747.88128323847,148410.45842406218,138751.1994942395
2019-09-26,144583.31262619593,148241.72566184562,138614.02485855194
2019-09-27,144140.5236389217,147787.73271905494,138244.88752250202
2019-09-30,143772.5207838563,147410.41823308502,137937.97378231163
2019-10-01,142610.2625608956,146374.18604576588,136968.32882776842
2019-10-02,141269.5481003852,144998.0860067298,135680.65558606945
2019-10-03,142736.49550585067,146307.35962385096,136905.79660416744
2019-10-04,144381.6815499162,147993.70357775144,138277.95416611174
2019-10-07,143122.02919339636,146702.53827575044,137228.91014461525
2019-10-08,141851.4708442001,145570.06511764397,136169.5688470375
2019-10-09,142685.90713398848,146314.6831957808,136866.1016305714
2019-10-10,142780.16664169956,146411.33990341195,136944.72327870544
2019-10-11,143304.68251983472,146949.1952255107,137382.18314674564
2019-10-14,143731.24963826317,147386.6107632343,137737.78135742125
2019-10-15,143961.94957758317,147623.17784412473,137930.0247941263
2019-10-16,143489.0159816393,147138.21664050574,137536.00919060162
2019-10-17,143596.68457138646,147248.6234488263,137625.74978577328
2019-10-18,142842.28037274914,146475.03330567692,136997.0236101026
2019-10-21,143500.8527804861,147150.35447183126,137546.26094074917
2019-10-22,143587.88005172575,147239.59501335767,137618.79664517762
2019-10-23,144173.90952106833,147840.52833517294,138107.20331680577
2019-10-24,144406.27393644946,148078.80222294058,138300.75699800407
2019-10-25,144799.36101582187,148481.88626005378,138628.11987113065
